ts,avg_temp_c,faults
2026-09-16T18:00:20Z,22.0,0
2026-09-16T19:00:20Z,21.6,0
2026-09-16T20:00:20Z,21.2,0
2026-09-16T21:00:20Z,20.6,0
2026-09-16T22:00:20Z,19.9,0
2026-09-16T23:00:20Z,18.7,0
2026-09-17T00:00:20Z,18.3,0
2026-09-17T01:00:20Z,17.9,1
2026-09-17T02:00:20Z,15.9,0
2026-09-17T03:00:20Z,16.8,3
2026-09-17T04:00:20Z,17.4,1
2026-09-17T05:00:20Z,17.8,0
2026-09-17T06:00:20Z,20.5,0
2026-09-17T07:00:20Z,19.5,0
2026-09-17T08:00:20Z,20.1,0
2026-09-17T09:00:20Z,20.4,0
2026-09-17T10:00:20Z,20.8,0
2026-09-17T11:00:20Z,21.0,0
2026-09-17T12:00:20Z,21.2,0
2026-09-17T13:00:20Z,21.1,0
2026-09-17T14:00:20Z,21.0,0
2026-09-17T15:00:20Z,20.9,0
2026-09-17T16:00:20Z,21.1,0
2026-09-17T17:00:20Z,21.3,0
