ts,avg_temp_c,faults
2026-09-16T00:20Z,21.2,0
2026-09-16T01:20Z,21.0,0
2026-09-16T02:20Z,18.1,0
2026-09-16T03:20Z,21.4,0
2026-09-16T04:20Z,21.3,0
2026-09-16T05:20Z,21.5,0
2026-09-16T06:20Z,21.1,0
2026-09-16T07:20Z,21.6,0
2026-09-16T08:20Z,21.8,0
2026-09-16T09:20Z,22.0,0
2026-09-16T10:20Z,22.3,0
2026-09-16T11:20Z,22.5,0
2026-09-16T12:20Z,22.4,0
2026-09-16T13:20Z,22.1,0
2026-09-16T14:20Z,21.9,0
2026-09-16T15:20Z,21.7,0
2026-09-16T16:20Z,21.5,0
2026-09-16T17:20Z,21.6,0
2026-09-16T18:20Z,21.4,0
2026-09-16T19:20Z,21.2,0
2026-09-16T20:20Z,21.0,0
2026-09-16T21:20Z,20.9,0
2026-09-16T22:20Z,20.8,0
2026-09-16T23:20Z,21.0,0
