ts,avg_temp_c,faults
2026-09-10T08:20:00Z,21.2,0
2026-09-10T09:20:00Z,21.5,0
2026-09-10T10:20:00Z,21.8,0
2026-09-10T11:20:00Z,21.7,0
2026-09-10T12:20:00Z,22.3,0
2026-09-10T13:20:00Z,22.6,0
2026-09-10T14:20:00Z,22.8,0
2026-09-10T15:20:00Z,22.7,0
2026-09-10T16:20:00Z,22.7,0
2026-09-10T17:20:00Z,22.9,1
2026-09-10T18:20:00Z,22.5,0
2026-09-10T19:20:00Z,21.7,0
2026-09-10T20:20:00Z,22.0,0
2026-09-10T21:20:00Z,21.4,0
2026-09-10T22:20:00Z,21.4,0
2026-09-10T23:20:00Z,20.6,0
2026-09-11T00:20:00Z,20.0,0
2026-09-11T01:20:00Z,20.3,0
2026-09-11T02:20:00Z,18.4,0
2026-09-11T03:20:00Z,20.0,0
2026-09-11T04:20:00Z,20.3,0
2026-09-11T05:20:00Z,20.4,0
2026-09-11T06:20:00Z,20.8,0
2026-09-11T07:20:00Z,21.0,0
2026-09-11T08:20:00Z,21.0,0
2026-09-11T09:20:00Z,21.3,0
2026-09-11T10:20:00Z,21.7,0
2026-09-11T11:20:00Z,22.7,0
2026-09-11T12:20:00Z,22.5,0
2026-09-11T13:20:00Z,22.9,0
2026-09-11T14:20:00Z,23.0,0
2026-09-11T15:20:00Z,22.7,0
2026-09-11T16:20:00Z,22.9,0
2026-09-11T17:20:00Z,22.2,1
2026-09-11T18:20:00Z,22.3,0
2026-09-11T19:20:00Z,22.3,0
2026-09-11T20:20:00Z,22.0,0
2026-09-11T21:20:00Z,21.3,0
2026-09-11T22:20:00Z,21.4,0
2026-09-11T23:20:00Z,20.8,0
2026-09-12T00:20:00Z,20.5,0
2026-09-12T01:20:00Z,20.4,0
2026-09-12T02:20:00Z,18.4,0
2026-09-12T03:20:00Z,20.4,0
2026-09-12T04:20:00Z,20.4,0
2026-09-12T05:20:00Z,20.5,0
2026-09-12T06:20:00Z,20.7,1
2026-09-12T07:20:00Z,20.6,0
2026-09-12T08:20:00Z,21.5,0
2026-09-12T09:20:00Z,21.5,0
2026-09-12T10:20:00Z,22.2,0
2026-09-12T11:20:00Z,22.1,0
2026-09-12T12:20:00Z,22.3,0
2026-09-12T13:20:00Z,22.9,0
2026-09-12T14:20:00Z,22.1,0
2026-09-12T15:20:00Z,22.9,0
2026-09-12T16:20:00Z,22.5,0
2026-09-12T17:20:00Z,22.5,0
2026-09-12T18:20:00Z,22.2,0
2026-09-12T19:20:00Z,22.4,0
2026-09-12T20:20:00Z,21.8,0
2026-09-12T21:20:00Z,21.2,0
2026-09-12T22:20:00Z,21.4,1
2026-09-12T23:20:00Z,20.9,0
2026-09-13T00:20:00Z,21.0,0
2026-09-13T01:20:00Z,20.1,1
2026-09-13T02:20:00Z,18.3,0
2026-09-13T03:20:00Z,19.9,0
2026-09-13T04:20:00Z,20.7,0
2026-09-13T05:20:00Z,20.6,0
2026-09-13T06:20:00Z,20.3,0
2026-09-13T07:20:00Z,20.9,0
2026-09-13T08:20:00Z,21.0,0
2026-09-13T09:20:00Z,21.6,0
2026-09-13T10:20:00Z,21.9,0
2026-09-13T11:20:00Z,22.3,0
2026-09-13T12:20:00Z,22.1,0
2026-09-13T13:20:00Z,22.7,0
2026-09-13T14:20:00Z,22.5,0
2026-09-13T15:20:00Z,23.0,0
2026-09-13T16:20:00Z,23.0,0
2026-09-13T17:20:00Z,22.7,0
2026-09-13T18:20:00Z,22.4,0
2026-09-13T19:20:00Z,22.0,0
2026-09-13T20:20:00Z,21.8,0
2026-09-13T21:20:00Z,21.6,0
2026-09-13T22:20:00Z,20.8,0
2026-09-13T23:20:00Z,21.0,0
2026-09-14T00:20:00Z,20.9,0
2026-09-14T01:20:00Z,20.6,0
2026-09-14T02:20:00Z,18.6,0
2026-09-14T03:20:00Z,19.9,0
2026-09-14T04:20:00Z,20.2,0
2026-09-14T05:20:00Z,20.6,0
2026-09-14T06:20:00Z,20.8,0
2026-09-14T07:20:00Z,21.2,0
2026-09-14T08:20:00Z,21.2,0
2026-09-14T09:20:00Z,22.1,0
2026-09-14T10:20:00Z,21.7,0
2026-09-14T11:20:00Z,22.1,0
2026-09-14T12:20:00Z,22.9,0
2026-09-14T13:20:00Z,22.4,0
2026-09-14T14:20:00Z,22.5,0
2026-09-14T15:20:00Z,22.7,1
2026-09-14T16:20:00Z,22.1,0
2026-09-14T17:20:00Z,23.0,0
2026-09-14T18:20:00Z,22.1,0
2026-09-14T19:20:00Z,22.2,0
2026-09-14T20:20:00Z,21.4,0
2026-09-14T21:20:00Z,21.4,0
2026-09-14T22:20:00Z,21.5,0
2026-09-14T23:20:00Z,20.8,0
2026-09-15T00:20:00Z,21.0,0
2026-09-15T01:20:00Z,20.6,0
2026-09-15T02:20:00Z,18.6,0
2026-09-15T03:20:00Z,20.8,0
2026-09-15T04:20:00Z,20.0,0
2026-09-15T05:20:00Z,20.2,0
2026-09-15T06:20:00Z,20.8,0
2026-09-15T07:20:00Z,20.8,0
2026-09-15T08:20:00Z,20.9,0
2026-09-15T09:20:00Z,21.7,0
2026-09-15T10:20:00Z,21.9,0
2026-09-15T11:20:00Z,22.5,0
2026-09-15T12:20:00Z,22.2,0
2026-09-15T13:20:00Z,22.4,0
2026-09-15T14:20:00Z,22.9,0
2026-09-15T15:20:00Z,22.8,0
2026-09-15T16:20:00Z,22.8,0
2026-09-15T17:20:00Z,22.6,0
2026-09-15T18:20:00Z,22.7,0
2026-09-15T19:20:00Z,21.8,0
2026-09-15T20:20:00Z,22.0,0
2026-09-15T21:20:00Z,21.2,0
2026-09-15T22:20:00Z,21.2,0
2026-09-15T23:20:00Z,20.9,0
2026-09-16T00:20:00Z,20.3,0
2026-09-16T01:20:00Z,20.0,0
2026-09-16T02:20:00Z,18.1,0
2026-09-16T03:20:00Z,20.5,0
2026-09-16T04:20:00Z,20.3,0
2026-09-16T05:20:00Z,20.3,0
2026-09-16T06:20:00Z,20.1,0
2026-09-16T07:20:00Z,20.9,0
2026-09-16T08:20:00Z,21.0,1
2026-09-16T09:20:00Z,21.6,0
2026-09-16T10:20:00Z,21.7,0
2026-09-16T11:20:00Z,22.0,0
2026-09-16T12:20:00Z,22.3,1
2026-09-16T13:20:00Z,22.6,0
2026-09-16T14:20:00Z,24.8,0
2026-09-16T15:20:00Z,26.4,0
2026-09-16T16:20:00Z,27.6,0
2026-09-16T17:20:00Z,28.5,5
2026-09-16T18:20:00Z,26.9,0
2026-09-16T19:20:00Z,21.6,0
2026-09-16T20:20:00Z,21.8,0
2026-09-16T21:20:00Z,21.6,0
2026-09-16T22:20:00Z,20.9,0
2026-09-16T23:20:00Z,21.1,0
2026-09-17T00:20:00Z,21.1,0
2026-09-17T01:20:00Z,19.9,0
2026-09-17T02:20:00Z,18.2,0
2026-09-17T03:20:00Z,20.4,0
2026-09-17T04:20:00Z,20.5,0
2026-09-17T05:20:00Z,20.0,0
2026-09-17T06:20:00Z,20.7,0
2026-09-17T07:20:00Z,20.8,0
2026-09-17T08:20:00Z,21.3,0
2026-09-17T09:20:00Z,22.0,0
2026-09-17T10:20:00Z,21.9,1
2026-09-17T11:20:00Z,21.9,0
2026-09-17T12:20:00Z,22.1,0
2026-09-17T13:20:00Z,23.0,0
2026-09-17T14:20:00Z,22.5,0
2026-09-17T15:20:00Z,22.5,0
2026-09-17T16:20:00Z,22.8,0
2026-09-17T17:20:00Z,22.5,0
2026-09-17T18:20:00Z,22.5,0
2026-09-17T19:20:00Z,22.1,0
2026-09-17T20:20:00Z,21.8,0
2026-09-17T21:20:00Z,21.3,0
2026-09-17T22:20:00Z,20.9,0
2026-09-17T23:20:00Z,21.1,0
2026-09-18T00:20:00Z,21.2,0
2026-09-18T01:20:00Z,20.5,0
2026-09-18T02:20:00Z,18.5,0
2026-09-18T03:20:00Z,19.9,1
2026-09-18T04:20:00Z,20.2,0
2026-09-18T05:20:00Z,20.3,0
2026-09-18T06:20:00Z,20.6,0
2026-09-18T07:20:00Z,20.7,0
2026-09-18T08:20:00Z,21.0,0
2026-09-18T09:20:00Z,21.6,0
2026-09-18T10:20:00Z,22.0,0
2026-09-18T11:20:00Z,22.0,0
2026-09-18T12:20:00Z,22.0,1
