ts,avg_temp_c,humidity_pct
2026-09-14T00:00:00Z,21.7,49.2
2026-09-14T01:00:00Z,22.2,48.6
2026-09-14T02:00:00Z,22.1,50.9
2026-09-14T03:00:00Z,21.3,52.1
2026-09-14T04:00:00Z,21.3,51.5
2026-09-14T05:00:00Z,21.3,48.7
2026-09-14T06:00:00Z,21.9,54.6
2026-09-14T07:00:00Z,21.4,49.8
2026-09-14T08:00:00Z,22.2,55.6
2026-09-14T09:00:00Z,22.1,51.2
2026-09-14T10:00:00Z,22.8,48.4
2026-09-14T11:00:00Z,22.6,50.3
2026-09-14T12:00:00Z,21.4,48.9
2026-09-14T13:00:00Z,21.7,54.5
2026-09-14T14:00:00Z,21.5,52.7
2026-09-14T15:00:00Z,22.2,51.0
2026-09-14T16:00:00Z,22.1,48.5
2026-09-14T17:00:00Z,21.3,49.6
2026-09-14T18:00:00Z,22.3,51.4
2026-09-14T19:00:00Z,21.7,52.7
2026-09-14T20:00:00Z,21.9,50.4
2026-09-14T21:00:00Z,22.5,53.6
2026-09-14T22:00:00Z,21.6,52.6
2026-09-14T23:00:00Z,22.0,55.0
2026-09-15T00:00:00Z,22.4,50.3
2026-09-15T01:00:00Z,22.8,48.9
2026-09-15T02:00:00Z,21.9,54.1
2026-09-15T03:00:00Z,21.4,51.9
2026-09-15T04:00:00Z,21.3,53.3
2026-09-15T05:00:00Z,22.4,52.6
2026-09-15T06:00:00Z,22.6,50.5
2026-09-15T07:00:00Z,22.3,52.8
2026-09-15T08:00:00Z,22.1,51.6
2026-09-15T09:00:00Z,22.5,55.6
2026-09-15T10:00:00Z,22.0,53.3
2026-09-15T11:00:00Z,21.3,53.6
2026-09-15T12:00:00Z,22.2,55.9
2026-09-15T13:00:00Z,22.5,50.3
2026-09-15T14:00:00Z,21.8,53.3
2026-09-15T15:00:00Z,21.2,51.7
2026-09-15T16:00:00Z,27.5,48.9
2026-09-15T17:00:00Z,28.5,54.1
2026-09-15T18:00:00Z,27.0,50.0
2026-09-15T19:00:00Z,21.8,55.0
2026-09-15T20:00:00Z,21.3,51.6
2026-09-15T21:00:00Z,22.1,55.1
2026-09-15T22:00:00Z,22.5,54.9
2026-09-15T23:00:00Z,21.6,51.3
2026-09-16T00:00:00Z,21.8,55.1
2026-09-16T01:00:00Z,22.7,49.2
2026-09-16T02:00:00Z,21.5,49.9
2026-09-16T03:00:00Z,21.6,51.9
2026-09-16T04:00:00Z,22.1,50.1
2026-09-16T05:00:00Z,17.5,51.4
2026-09-16T06:00:00Z,17.0,52.5
2026-09-16T07:00:00Z,22.7,53.5
2026-09-16T08:00:00Z,22.0,52.9
2026-09-16T09:00:00Z,22.3,48.4
2026-09-16T10:00:00Z,22.6,54.2
2026-09-16T11:00:00Z,22.6,54.4
2026-09-16T12:00:00Z,21.8,51.2
2026-09-16T13:00:00Z,21.4,53.1
2026-09-16T14:00:00Z,21.3,48.5
2026-09-16T15:00:00Z,21.5,49.3
2026-09-16T16:00:00Z,21.7,48.4
2026-09-16T17:00:00Z,21.2,49.2
2026-09-16T18:00:00Z,21.4,50.9
2026-09-16T19:00:00Z,21.2,55.0
2026-09-16T20:00:00Z,22.2,49.2
2026-09-16T21:00:00Z,21.6,50.8
2026-09-16T22:00:00Z,21.8,49.0
2026-09-16T23:00:00Z,22.6,55.9
